date,airline,flight,aircraft,location,aboard,fatalities,cause,summary
1956-06-30,TWA / United Airlines,2 / 718,Lockheed Super Constellation / Douglas DC-7,Grand Canyon Arizona USA,128,128,mid-air collision,"Two airliners collided over the Grand Canyon in uncontrolled airspace; the disaster led directly to the creation of the FAA."
1958-02-06,British European Airways,609,Airspeed Ambassador,Munich West Germany,44,23,weather,"Failed to get airborne from a slush-covered runway on a third takeoff attempt; victims included eight Manchester United players (the Munich air disaster)."
1960-12-16,United Airlines / TWA,826 / 266,Douglas DC-8 / Lockheed Super Constellation,New York City USA,128,128,mid-air collision,"Collided over Staten Island in poor visibility; wreckage fell on Brooklyn and killed six people on the ground."
1962-06-03,Air France,007,Boeing 707,Paris Orly France,132,130,mechanical failure,"An elevator trim motor fault forced a rejected takeoff too late to stop; most victims were Atlanta arts patrons on a charter."
1966-03-05,BOAC,911,Boeing 707,Mount Fuji Japan,124,124,weather,"Broke apart in severe clear-air turbulence in the lee of Mount Fuji shortly after leaving Tokyo."
1970-11-14,Southern Airways,932,Douglas DC-9,Huntington West Virginia USA,75,75,controlled flight into terrain,"Struck a hillside on approach in rain and fog; victims included the Marshall University football team."
1972-10-13,Uruguayan Air Force,571,Fairchild FH-227,Andes mountains Argentina,45,29,controlled flight into terrain,"Charter carrying a rugby team struck a ridge in cloud; 16 survivors were rescued after 72 days in the mountains."
1972-12-29,Eastern Air Lines,401,Lockheed L-1011,Florida Everglades USA,176,101,pilot error,"The crew fixated on a burned-out landing gear light while the autopilot was nudged off and the jet descended into the Everglades."
1974-03-03,Turkish Airlines,981,McDonnell Douglas DC-10,Ermenonville France,346,346,design flaw,"The rear cargo door blew out and the collapsing floor severed the control cables; deadliest crash in history at the time."
1975-06-24,Eastern Air Lines,66,Boeing 727,New York JFK USA,124,113,weather,"Flew into severe windshear from a thunderstorm microburst on final approach to JFK."
1977-03-27,KLM / Pan Am,4805 / 1736,Boeing 747 / Boeing 747,Tenerife Canary Islands Spain,644,583,runway collision,"The KLM 747 began its takeoff roll in fog without clearance and struck the Pan Am 747 taxiing on the runway; deadliest accident in aviation history."
